	ABC.id
65683	chr1:62054291-62054791_TM2D1
65682	chr1:62054291-62054791_NFIA
65684	chr1:62054291-62054791_USP1
64636	chr1:64140010-64140510_ALG6
64640	chr1:64140010-64140510_EFCAB7
64639	chr1:64140010-64140510_ITGB3BP
64638	chr1:64140010-64140510_ATG4C
64637	chr1:64140010-64140510_DOCK7
20459	chr1:65548914-65549414_LEPROT
20456	chr1:65548914-65549414_AK4
20448	chr1:65701519-65702019_RAVER2
20445	chr1:65701519-65702019_JAK1
20454	chr1:65701519-65702019_LEPR
20457	chr1:65701519-65702019_AK4
20460	chr1:65701519-65702019_LEPROT
20458	chr1:66153345-66153845_AK4
20452	chr1:66153345-66153845_DNAJC6
20455	chr1:66153345-66153845_LEPR
20449	chr1:66153345-66153845_RAVER2
63243	chr1:67897382-67898315_SERBP1
63251	chr1:67897382-67898315_DIRAS3
63259	chr1:67897382-67898315_GNG12
63267	chr1:67897382-67898315_MIER1
63235	chr1:67897382-67898315_GADD45A
63227	chr1:67897382-67898315_SLC35D1
63252	chr1:67944867-67945367_DIRAS3
63228	chr1:67944867-67945367_SLC35D1
63244	chr1:67944867-67945367_SERBP1
63245	chr1:68004974-68005474_DIRAS3
63215	chr1:68004974-68005474_DEPDC1
63261	chr1:68004974-68005474_MIER1
63240	chr1:68036025-68036525_SERBP1
63232	chr1:68036025-68036525_GADD45A
63256	chr1:68036025-68036525_GNG12
63224	chr1:68036025-68036525_SLC35D1
63248	chr1:68036025-68036525_DIRAS3
63264	chr1:68036025-68036525_MIER1
63216	chr1:68055218-68055718_DEPDC1
63246	chr1:68055218-68055718_DIRAS3
63222	chr1:68055218-68055718_SLC35D1
63262	chr1:68055218-68055718_MIER1
63249	chr1:68112284-68112784_DIRAS3
63257	chr1:68112284-68112784_GNG12
63241	chr1:68112284-68112784_SERBP1
63225	chr1:68112284-68112784_SLC35D1
63239	chr1:68148172-68148672_SERBP1
63247	chr1:68148172-68148672_DIRAS3
63263	chr1:68148172-68148672_MIER1
63231	chr1:68148172-68148672_GADD45A
63226	chr1:68160723-68161223_SLC35D1
63258	chr1:68160723-68161223_GNG12
63242	chr1:68160723-68161223_SERBP1
63250	chr1:68160723-68161223_DIRAS3
63266	chr1:68160723-68161223_MIER1
63630	chr1:70005683-70006183_CTH
63633	chr1:70005683-70006183_ANKRD13C
63637	chr1:70005683-70006183_HHLA3
63627	chr1:70005683-70006183_SRSF11
63631	chr1:70017215-70017715_CTH
63623	chr1:71141431-71141931_LRRC40
63622	chr1:71141431-71141931_PTGER3
63635	chr1:71141431-71141931_ZRANB2
63632	chr1:71141431-71141931_ANKRD13C
63636	chr1:71141431-71141931_HHLA3
20518	chr1:75237548-75238048_CRYZ
20516	chr1:75237548-75238048_SLC44A5
20522	chr1:75237548-75238048_TYW3
20517	chr1:76138406-76138906_SLC44A5
20525	chr1:76138406-76138906_RABGGTB
20523	chr1:76138406-76138906_TYW3
20521	chr1:76138406-76138906_ACADM
20519	chr1:76138406-76138906_CRYZ
10698	chr12:776046-776942_WNT5B
10708	chr12:776046-776942_CCDC77
10710	chr12:776046-776942_NINJ2
10700	chr12:776046-776942_RAD52
10702	chr12:776046-776942_WNK1
10703	chr12:825636-826136_WNK1
10711	chr12:825636-826136_NINJ2
10875	chr12:825636-826136_ADIPOR2
62996	chr12:3709140-3709640_FKBP4
63008	chr12:3709140-3709640_ITFG2
63020	chr12:3709140-3709640_RHNO1
63002	chr12:3709140-3709640_C12orf4
63015	chr12:3709140-3709640_CCND2
63021	chr12:3709140-3709640_TEAD4
63004	chr12:4251960-4252460_C12orf4
63108	chr12:4251960-4252460_NDUFA9
63000	chr12:4262635-4263135_DYRK4
63018	chr12:4262635-4263135_CCND2
63109	chr12:4262635-4263135_NDUFA9
63016	chr12:4497779-4498279_CCND2
62998	chr12:4497779-4498279_DYRK4
63107	chr12:4497779-4498279_NDUFA9
63110	chr12:5329908-5330408_NDUFA9
9615	chr12:6276942-6277442_NOP2
9642	chr12:6276942-6277442_ING4
9553	chr12:6276942-6277442_NCAPD2
9762	chr12:6276942-6277442_VAMP1
9633	chr12:6276942-6277442_COPS7A
9771	chr12:6276942-6277442_PTMS
9651	chr12:6276942-6277442_CDCA3
9571	chr12:6276942-6277442_TNFRSF1A
9737	chr12:6276942-6277442_EMG1
9728	chr12:6276942-6277442_ZNF384
9687	chr12:6276942-6277442_ENO2
9535	chr12:6276942-6277442_ACRBP
9747	chr12:6362401-6362901_C1RL
9697	chr12:6362401-6362901_ATN1
9729	chr12:6362401-6362901_ZNF384
9661	chr12:6362401-6362901_USP5
9763	chr12:6362401-6362901_VAMP1
9679	chr12:6362401-6362901_SPSB2
9670	chr12:6362401-6362901_TPI1
9772	chr12:6362401-6362901_PTMS
9798	chr12:6362401-6362901_CLSTN3
9616	chr12:6362401-6362901_NOP2
9625	chr12:6362401-6362901_CHD4
9554	chr12:6362401-6362901_NCAPD2
9828	chr12:6362401-6362901_PEX5
9598	chr12:6362401-6362901_MRPL51
9536	chr12:6362401-6362901_ACRBP
9813	chr12:6362401-6362901_RBP5
9580	chr12:6362401-6362901_MLF2
9643	chr12:6362401-6362901_ING4
9537	chr12:6373093-6373593_ACRBP
9707	chr12:6373093-6373593_C12orf57
9608	chr12:6373093-6373593_GAPDH
9680	chr12:6373093-6373593_SPSB2
9698	chr12:6373093-6373593_ATN1
9689	chr12:6373093-6373593_ENO2
9590	chr12:6373093-6373593_LTBR
9546	chr12:6373093-6373593_GNB3
9617	chr12:6373093-6373593_NOP2
9748	chr12:6373093-6373593_C1RL
9791	chr12:6373093-6373593_PHB2
9635	chr12:6373093-6373593_COPS7A
9782	chr12:6373093-6373593_LPAR5
9799	chr12:6373093-6373593_CLSTN3
9773	chr12:6373093-6373593_PTMS
9814	chr12:6373093-6373593_RBP5
9573	chr12:6373093-6373593_TNFRSF1A
9644	chr12:6373093-6373593_ING4
9662	chr12:6373093-6373593_USP5
9555	chr12:6373093-6373593_NCAPD2
9653	chr12:6373093-6373593_CDCA3
9800	chr12:6394094-6394594_CLSTN3
9783	chr12:6394094-6394594_LPAR5
9774	chr12:6394094-6394594_PTMS
9815	chr12:6394094-6394594_RBP5
9731	chr12:6394094-6394594_ZNF384
9740	chr12:6394094-6394594_EMG1
9717	chr12:6394094-6394594_LPCAT3
9681	chr12:6394094-6394594_SPSB2
9672	chr12:6394094-6394594_TPI1
9627	chr12:6394094-6394594_CHD4
9565	chr12:6394094-6394594_LRRC23
9574	chr12:6394094-6394594_TNFRSF1A
9793	chr12:6539620-6540120_PHB2
9664	chr12:6539620-6540120_USP5
9766	chr12:6539620-6540120_VAMP1
9628	chr12:6539620-6540120_CHD4
9816	chr12:6539620-6540120_RBP5
9831	chr12:6539620-6540120_PEX5
9801	chr12:6539620-6540120_CLSTN3
9619	chr12:6539620-6540120_NOP2
9575	chr12:6539620-6540120_TNFRSF1A
9539	chr12:6539620-6540120_ACRBP
9673	chr12:6539620-6540120_TPI1
9548	chr12:6539620-6540120_GNB3
