	ABC.id
3263	chr11:267166-267666_ANO9
3203	chr11:267166-267666_POLR2L
3255	chr11:267166-267666_PKP3
3167	chr11:267166-267666_PDDC1
3247	chr11:267166-267666_AP2A2
3271	chr11:267166-267666_SIGIRR
3176	chr11:267166-267666_SLC25A22
3111	chr11:267166-267666_IFITM3
3185	chr11:267166-267666_RPLP2
3229	chr11:267166-267666_RIC8A
3194	chr11:267166-267666_CD151
3221	chr11:267166-267666_BET1L
3213	chr11:267166-267666_CHID1
3071	chr11:267166-267666_PNPLA2
3103	chr11:267166-267666_SIRT3
3295	chr11:267166-267666_IFITM1
3095	chr11:267166-267666_RASSF7
3287	chr11:267166-267666_PSMD13
3135	chr11:267166-267666_PTDSS2
3088	chr11:267989-268489_RASSF7
3296	chr11:267989-268489_TSPAN4
3112	chr11:267989-268489_LRRC56
3186	chr11:267989-268489_CD151
3195	chr11:267989-268489_POLR2L
3128	chr11:267989-268489_PTDSS2
3072	chr11:267989-268489_RNH1
3080	chr11:267989-268489_PHRF1
3104	chr11:267989-268489_IFITM3
3204	chr11:267989-268489_CHID1
3120	chr11:267989-268489_HRAS
3264	chr11:267989-268489_SIGIRR
3160	chr11:267989-268489_PDDC1
3256	chr11:267989-268489_ANO9
3168	chr11:267989-268489_SLC25A22
3288	chr11:267989-268489_IFITM1
3196	chr11:268678-269178_POLR2L
3153	chr11:268678-269178_TALDO1
3129	chr11:268678-269178_PTDSS2
3161	chr11:268678-269178_PDDC1
3056	chr11:268678-269178_DEAF1
3178	chr11:268678-269178_RPLP2
3169	chr11:268678-269178_SLC25A22
3145	chr11:268678-269178_EPS8L2
3187	chr11:268678-269178_CD151
3281	chr11:268678-269178_PSMD13
3257	chr11:268678-269178_ANO9
3273	chr11:268678-269178_IRF7
3205	chr11:268678-269178_CHID1
3231	chr11:268678-269178_B4GALNT4
3297	chr11:268678-269178_TSPAN4
3289	chr11:268678-269178_IFITM1
3290	chr11:335677-336177_IFITM1
3162	chr11:335677-336177_PDDC1
3224	chr11:335677-336177_RIC8A
3106	chr11:335677-336177_IFITM3
3065	chr11:335677-336177_PNPLA2
3098	chr11:335677-336177_SIRT3
3240	chr11:335677-336177_AP2A2
3170	chr11:335677-336177_SLC25A22
3114	chr11:335677-336177_LRRC56
3123	chr11:350756-351256_HRAS
3107	chr11:350756-351256_IFITM3
3058	chr11:350756-351256_DEAF1
3083	chr11:350756-351256_PHRF1
3299	chr11:350756-351256_TSPAN4
3291	chr11:350756-351256_IFITM1
3283	chr11:350756-351256_PSMD13
3251	chr11:350756-351256_PKP3
3241	chr11:350756-351256_AP2A2
3198	chr11:350756-351256_POLR2L
3099	chr11:350756-351256_SIRT3
3155	chr11:350756-351256_TALDO1
