	group
65683	chr1.2
65682	chr1.2
65684	chr1.2
64636	chr1.2
64640	chr1.2
64639	chr1.2
64638	chr1.2
64637	chr1.2
20459	chr1.2
20456	chr1.2
20448	chr1.2
20445	chr1.2
20454	chr1.2
20457	chr1.2
20460	chr1.2
20458	chr1.2
20452	chr1.2
20455	chr1.2
20449	chr1.2
63243	chr1.2
63251	chr1.2
63259	chr1.2
63267	chr1.2
63235	chr1.2
63227	chr1.2
63252	chr1.2
63228	chr1.2
63244	chr1.2
63245	chr1.2
63215	chr1.2
63261	chr1.2
63240	chr1.2
63232	chr1.2
63256	chr1.2
63224	chr1.2
63248	chr1.2
63264	chr1.2
63216	chr1.2
63246	chr1.2
63222	chr1.2
63262	chr1.2
63249	chr1.2
63257	chr1.2
63241	chr1.2
63225	chr1.2
63239	chr1.2
63247	chr1.2
63263	chr1.2
63231	chr1.2
63226	chr1.2
63258	chr1.2
63242	chr1.2
63250	chr1.2
63266	chr1.2
63630	chr1.2
63633	chr1.2
63637	chr1.2
63627	chr1.2
63631	chr1.2
63623	chr1.2
63622	chr1.2
63635	chr1.2
63632	chr1.2
63636	chr1.2
20518	chr1.2
20516	chr1.2
20522	chr1.2
20517	chr1.2
20525	chr1.2
20523	chr1.2
20521	chr1.2
20519	chr1.2
10698	chr12.1
10708	chr12.1
10710	chr12.1
10700	chr12.1
10702	chr12.1
10703	chr12.1
10711	chr12.1
10875	chr12.1
62996	chr12.1
63008	chr12.1
63020	chr12.1
63002	chr12.1
63015	chr12.1
63021	chr12.1
63004	chr12.1
63108	chr12.1
63000	chr12.1
63018	chr12.1
63109	chr12.1
63016	chr12.1
62998	chr12.1
63107	chr12.1
63110	chr12.1
9615	chr12.1
9642	chr12.1
9553	chr12.1
9762	chr12.1
9633	chr12.1
9771	chr12.1
9651	chr12.1
9571	chr12.1
9737	chr12.1
9728	chr12.1
9687	chr12.1
9535	chr12.1
9747	chr12.1
9697	chr12.1
9729	chr12.1
9661	chr12.1
9763	chr12.1
9679	chr12.1
9670	chr12.1
9772	chr12.1
9798	chr12.1
9616	chr12.1
9625	chr12.1
9554	chr12.1
9828	chr12.1
9598	chr12.1
9536	chr12.1
9813	chr12.1
9580	chr12.1
9643	chr12.1
9537	chr12.1
9707	chr12.1
9608	chr12.1
9680	chr12.1
9698	chr12.1
9689	chr12.1
9590	chr12.1
9546	chr12.1
9617	chr12.1
9748	chr12.1
9791	chr12.1
9635	chr12.1
9782	chr12.1
9799	chr12.1
9773	chr12.1
9814	chr12.1
9573	chr12.1
9644	chr12.1
9662	chr12.1
9555	chr12.1
9653	chr12.1
9800	chr12.1
9783	chr12.1
9774	chr12.1
9815	chr12.1
9731	chr12.1
9740	chr12.1
9717	chr12.1
9681	chr12.1
9672	chr12.1
9627	chr12.1
9565	chr12.1
9574	chr12.1
9793	chr12.1
9664	chr12.1
9766	chr12.1
9628	chr12.1
9816	chr12.1
9831	chr12.1
9801	chr12.1
9619	chr12.1
9575	chr12.1
9539	chr12.1
9673	chr12.1
9548	chr12.1
9610	chr12.1
9700	chr12.1
9592	chr12.1
9682	chr12.1
9601	chr12.1
9646	chr12.1
9718	chr12.1
9802	chr12.1
9629	chr12.1
9593	chr12.1
9892	chr12.1
9647	chr12.1
9710	chr12.1
9683	chr12.1
9674	chr12.1
9558	chr12.1
9767	chr12.1
9776	chr12.1
9576	chr12.1
9785	chr12.1
9777	chr12.1
9675	chr12.1
9734	chr12.1
9594	chr12.1
9541	chr12.1
9720	chr12.1
9693	chr12.1
9711	chr12.1
9786	chr12.1
9666	chr12.1
9612	chr12.1
9621	chr12.1
9568	chr12.1
9893	chr12.1
9768	chr12.1
10371	chr12.1
10381	chr12.1
9796	chr12.1
9604	chr12.1
9613	chr12.1
9622	chr12.1
9694	chr12.1
9631	chr12.1
9649	chr12.1
9703	chr12.1
9712	chr12.1
10382	chr12.1
9721	chr12.1
9894	chr12.1
9834	chr12.1
9685	chr12.1
9769	chr12.1
9804	chr12.1
9778	chr12.1
10362	chr12.1
9551	chr12.1
9586	chr12.1
9722	chr12.1
9713	chr12.1
9650	chr12.1
9820	chr12.1
9623	chr12.1
10393	chr12.1
9668	chr12.1
9543	chr12.1
9605	chr12.1
9805	chr12.1
9686	chr12.1
9770	chr12.1
9614	chr12.1
9806	chr12.1
9821	chr12.1
10384	chr12.1
9755	chr12.1
10394	chr12.1
10374	chr12.1
9756	chr12.1
9822	chr12.1
10375	chr12.1
10547	chr12.1
9725	chr12.1
10366	chr12.1
10548	chr12.1
9808	chr12.1
9838	chr12.1
10376	chr12.1
9757	chr12.1
10564	chr12.1
9839	chr12.1
9809	chr12.1
9758	chr12.1
10367	chr12.1
9726	chr12.1
10377	chr12.1
9824	chr12.1
9899	chr12.1
10565	chr12.1
9759	chr12.1
10550	chr12.1
10388	chr12.1
9840	chr12.1
10378	chr12.1
9825	chr12.1
10368	chr12.1
9826	chr12.1
10561	chr12.1
9901	chr12.1
