	group
20536	chr1.3
20544	chr1.3
20548	chr1.3
20565	chr1.3
20558	chr1.3
20571	chr1.3
20526	chr1.3
20575	chr1.3
20537	chr1.3
20572	chr1.3
20545	chr1.3
20555	chr1.3
20566	chr1.3
20576	chr1.3
20550	chr1.3
20560	chr1.3
20546	chr1.3
20528	chr1.3
20539	chr1.3
20577	chr1.3
20529	chr1.3
20561	chr1.3
20547	chr1.3
20574	chr1.3
20551	chr1.3
20562	chr1.3
20541	chr1.3
20535	chr1.3
20553	chr1.3
20563	chr1.3
20584	chr1.3
20591	chr1.3
20585	chr1.3
20592	chr1.3
20600	chr1.3
20597	chr1.3
20615	chr1.3
20587	chr1.3
20613	chr1.3
20616	chr1.3
20602	chr1.3
63759	chr1.3
20601	chr1.3
21070	chr1.3
21071	chr1.3
21068	chr1.3
21072	chr1.3
21061	chr1.3
21132	chr1.3
21125	chr1.3
21141	chr1.3
21354	chr1.3
21133	chr1.3
21122	chr1.3
21350	chr1.3
21138	chr1.3
21134	chr1.3
21344	chr1.3
21351	chr1.3
21135	chr1.3
21832	chr1.3
21820	chr1.3
21353	chr1.3
21833	chr1.3
21813	chr1.3
21821	chr1.3
21817	chr1.3
21359	chr1.3
21805	chr1.3
21825	chr1.3
21809	chr1.3
21830	chr1.3
21818	chr1.3
21814	chr1.3
21806	chr1.3
21807	chr1.3
21827	chr1.3
22299	chr1.3
21349	chr1.3
21815	chr1.3
22302	chr1.3
21831	chr1.3
21819	chr1.3
65126	chr1.3
65110	chr1.3
65118	chr1.3
65102	chr1.3
65121	chr1.3
65113	chr1.3
65129	chr1.3
65125	chr1.3
65101	chr1.3
65117	chr1.3
65123	chr1.3
65131	chr1.3
65116	chr1.3
65124	chr1.3
65119	chr1.3
65127	chr1.3
65103	chr1.3
65128	chr1.3
65120	chr1.3
65130	chr1.3
65114	chr1.3
65122	chr1.3
23464	chr1.3
23509	chr1.3
23484	chr1.3
23493	chr1.3
23510	chr1.3
23522	chr1.3
23471	chr1.3
23502	chr1.3
23482	chr1.3
23472	chr1.3
23486	chr1.3
23524	chr1.3
23512	chr1.3
23503	chr1.3
23732	chr1.3
23718	chr1.3
23495	chr1.3
23483	chr1.3
23467	chr1.3
23488	chr1.3
23726	chr1.3
23719	chr1.3
23504	chr1.3
23525	chr1.3
23496	chr1.3
23474	chr1.3
23475	chr1.3
23526	chr1.3
23469	chr1.3
23489	chr1.3
23727	chr1.3
23720	chr1.3
23497	chr1.3
23519	chr1.3
23490	chr1.3
23499	chr1.3
23507	chr1.3
23730	chr1.3
23737	chr1.3
23724	chr1.3
23731	chr1.3
23479	chr1.3
3623	chr11.2
3745	chr11.2
63065	chr11.2
3645	chr11.2
63068	chr11.2
3638	chr11.2
3661	chr11.2
3668	chr11.2
3622	chr11.2
3647	chr11.2
3732	chr11.2
3740	chr11.2
3625	chr11.2
3605	chr11.2
3648	chr11.2
3670	chr11.2
3606	chr11.2
3640	chr11.2
3746	chr11.2
3741	chr11.2
3742	chr11.2
3641	chr11.2
3671	chr11.2
3607	chr11.2
3692	chr11.2
3767	chr11.2
3693	chr11.2
3714	chr11.2
3608	chr11.2
3743	chr11.2
3665	chr11.2
3650	chr11.2
3672	chr11.2
3666	chr11.2
3768	chr11.2
3736	chr11.2
3609	chr11.2
3715	chr11.2
3749	chr11.2
3673	chr11.2
3651	chr11.2
3694	chr11.2
3737	chr11.2
3750	chr11.2
3644	chr11.2
3652	chr11.2
3769	chr11.2
3630	chr11.2
3716	chr11.2
3674	chr11.2
3611	chr11.2
3751	chr11.2
3631	chr11.2
3770	chr11.2
3717	chr11.2
3675	chr11.2
3653	chr11.2
3771	chr11.2
3676	chr11.2
3612	chr11.2
3719	chr11.2
3698	chr11.2
3677	chr11.2
3772	chr11.2
3613	chr11.2
3699	chr11.2
3754	chr11.2
3720	chr11.2
3773	chr11.2
3614	chr11.2
3656	chr11.2
3774	chr11.2
3700	chr11.2
3679	chr11.2
3635	chr11.2
3721	chr11.2
3755	chr11.2
3680	chr11.2
3636	chr11.2
3701	chr11.2
3658	chr11.2
3722	chr11.2
3756	chr11.2
3616	chr11.2
3775	chr11.2
3776	chr11.2
3637	chr11.2
3757	chr11.2
3723	chr11.2
3801	chr11.2
3702	chr11.2
3681	chr11.2
3659	chr11.2
3617	chr11.2
3703	chr11.2
3618	chr11.2
3778	chr11.2
3803	chr11.2
3683	chr11.2
3804	chr11.2
3727	chr11.2
3761	chr11.2
3706	chr11.2
3805	chr11.2
3781	chr11.2
3762	chr11.2
3806	chr11.2
3810	chr11.2
3687	chr11.2
3708	chr11.2
3782	chr11.2
3807	chr11.2
3688	chr11.2
3764	chr11.2
4382	chr11.4
4418	chr11.4
4444	chr11.4
4445	chr11.4
4407	chr11.4
4383	chr11.4
4419	chr11.4
4401	chr11.4
4425	chr11.4
4437	chr11.4
4413	chr11.4
4431	chr11.4
4420	chr11.4
4432	chr11.4
4426	chr11.4
4385	chr11.4
4397	chr11.4
4391	chr11.4
4415	chr11.4
4427	chr11.4
4439	chr11.4
4433	chr11.4
4450	chr11.4
4410	chr11.4
4398	chr11.4
4422	chr11.4
4392	chr11.4
4451	chr11.4
4387	chr11.4
4423	chr11.4
4429	chr11.4
4435	chr11.4
4464	chr11.4
4538	chr11.4
4442	chr11.4
4453	chr11.4
4443	chr11.4
4465	chr11.4
4525	chr11.4
4526	chr11.4
4466	chr11.4
4553	chr11.4
4454	chr11.4
4540	chr11.4
4554	chr11.4
4455	chr11.4
4555	chr11.4
4542	chr11.4
4528	chr11.4
4577	chr11.4
4567	chr11.4
4529	chr11.4
4457	chr11.4
4578	chr11.4
4530	chr11.4
4544	chr11.4
4470	chr11.4
4458	chr11.4
4570	chr11.4
4471	chr11.4
4459	chr11.4
4531	chr11.4
4559	chr11.4
4582	chr11.4
4473	chr11.4
4573	chr11.4
4534	chr11.4
4584	chr11.4
4574	chr11.4
4535	chr11.4
4585	chr11.4
4550	chr11.4
4575	chr11.4
4563	chr11.4
4536	chr11.4
4586	chr11.4
4564	chr11.4
4576	chr11.4
4690	chr11.4
4695	chr11.4
4691	chr11.4
4700	chr11.4
4844	chr11.4
4878	chr11.4
4895	chr11.4
4887	chr11.4
4917	chr11.4
4926	chr11.4
4927	chr11.4
4686	chr11.4
4949	chr11.4
4701	chr11.4
4941	chr11.4
4911	chr11.4
4879	chr11.4
4957	chr11.4
4692	chr11.4
4697	chr11.4
4863	chr11.4
4904	chr11.4
5160	chr11.4
5113	chr11.4
5122	chr11.4
5132	chr11.4
4687	chr11.4
5070	chr11.4
4958	chr11.4
5207	chr11.4
5061	chr11.4
4912	chr11.4
4864	chr11.4
5015	chr11.4
5052	chr11.4
4880	chr11.4
5171	chr11.4
5095	chr11.4
4928	chr11.4
5189	chr11.4
5088	chr11.4
5079	chr11.4
4855	chr11.4
4942	chr11.4
5181	chr11.4
5172	chr11.4
5152	chr11.4
5025	chr11.4
4865	chr11.4
5080	chr11.4
4959	chr11.4
5114	chr11.4
4929	chr11.4
4913	chr11.4
4935	chr11.4
4914	chr11.4
5054	chr11.4
5200	chr11.4
4906	chr11.4
