	group
2665	chr1.1
2711	chr1.1
2658	chr1.1
2650	chr1.1
2774	chr1.1
2636	chr1.1
2682	chr1.1
2759	chr1.1
2689	chr1.1
2745	chr1.1
2746	chr1.1
2775	chr1.1
2676	chr1.1
2810	chr1.1
2782	chr1.1
2659	chr1.1
2705	chr1.1
2719	chr1.1
2683	chr1.1
2671	chr1.1
2760	chr1.1
2690	chr1.1
2765	chr1.1
2732	chr1.1
2697	chr1.1
2789	chr1.1
2770	chr1.1
2725	chr1.1
2753	chr1.1
2740	chr1.1
2638	chr1.1
2776	chr1.1
2790	chr1.1
2771	chr1.1
2631	chr1.1
2804	chr1.1
2754	chr1.1
2733	chr1.1
2720	chr1.1
2660	chr1.1
2713	chr1.1
2706	chr1.1
2652	chr1.1
2673	chr1.1
2685	chr1.1
2762	chr1.1
2721	chr1.1
2714	chr1.1
11069	chr1.1
2741	chr1.1
2678	chr1.1
2767	chr1.1
2768	chr1.1
11058	chr1.1
11070	chr1.1
2633	chr1.1
2674	chr1.1
2763	chr1.1
11064	chr1.1
2773	chr1.1
2640	chr1.1
2669	chr1.1
11082	chr1.1
2785	chr1.1
11088	chr1.1
2792	chr1.1
2624	chr1.1
2806	chr1.1
2778	chr1.1
2813	chr1.1
2647	chr1.1
2708	chr1.1
2728	chr1.1
2715	chr1.1
2735	chr1.1
2679	chr1.1
2742	chr1.1
2700	chr1.1
2749	chr1.1
2722	chr1.1
2693	chr1.1
2756	chr1.1
2686	chr1.1
2786	chr1.1
11083	chr1.1
11065	chr1.1
2750	chr1.1
11053	chr1.1
2723	chr1.1
2687	chr1.1
2648	chr1.1
11060	chr1.1
2780	chr1.1
2744	chr1.1
11054	chr1.1
11084	chr1.1
2656	chr1.1
2681	chr1.1
11091	chr1.1
2703	chr1.1
2657	chr1.1
2140	chr1.1
2176	chr1.1
2167	chr1.1
2158	chr1.1
11068	chr1.1
2628	chr1.1
11092	chr1.1
2168	chr1.1
11056	chr1.1
2194	chr1.1
11062	chr1.1
2185	chr1.1
11074	chr1.1
2169	chr1.1
2179	chr1.1
2170	chr1.1
2196	chr1.1
2143	chr1.1
2161	chr1.1
2152	chr1.1
2171	chr1.1
2180	chr1.1
2162	chr1.1
2181	chr1.1
2163	chr1.1
2154	chr1.1
2173	chr1.1
2164	chr1.1
2155	chr1.1
2183	chr1.1
2156	chr1.1
2147	chr1.1
2191	chr1.1
2166	chr1.1
2192	chr1.1
2139	chr1.1
2175	chr1.1
2148	chr1.1
2311	chr1.1
2312	chr1.1
7476	chr1.1
7469	chr1.1
7460	chr1.1
7615	chr1.1
7611	chr1.1
7473	chr1.1
7461	chr1.1
7470	chr1.1
7466	chr1.1
7620	chr1.1
7471	chr1.1
7717	chr1.1
7467	chr1.1
7474	chr1.1
7621	chr1.1
7730	chr1.1
7617	chr1.1
7613	chr1.1
7468	chr1.1
7614	chr1.1
8174	chr1.1
8154	chr1.1
7731	chr1.1
7727	chr1.1
8178	chr1.1
7732	chr1.1
8322	chr1.1
8310	chr1.1
8197	chr1.1
8238	chr1.1
8298	chr1.1
8250	chr1.1
8286	chr1.1
8179	chr1.1
8143	chr1.1
7733	chr1.1
8210	chr1.1
7729	chr1.1
8184	chr1.1
8275	chr1.1
8198	chr1.1
7721	chr1.1
8188	chr1.1
8251	chr1.1
8312	chr1.1
8264	chr1.1
8240	chr1.1
8211	chr1.1
8181	chr1.1
8157	chr1.1
8147	chr1.1
8344	chr1.1
8324	chr1.1
8384	chr1.1
8374	chr1.1
8364	chr1.1
8199	chr1.1
8277	chr1.1
8253	chr1.1
8395	chr1.1
8365	chr1.1
8313	chr1.1
8200	chr1.1
8301	chr1.1
8385	chr1.1
8355	chr1.1
8241	chr1.1
8335	chr1.1
8336	chr1.1
8346	chr1.1
8396	chr1.1
8326	chr1.1
8302	chr1.1
8290	chr1.1
8376	chr1.1
8278	chr1.1
8314	chr1.1
8366	chr1.1
8242	chr1.1
8254	chr1.1
8159	chr1.1
8191	chr1.1
8149	chr1.1
8171	chr1.1
8160	chr1.1
8377	chr1.1
8337	chr1.1
8327	chr1.1
8192	chr1.1
8387	chr1.1
8315	chr1.1
8202	chr1.1
8442	chr1.1
8397	chr1.1
8267	chr1.1
8279	chr1.1
8291	chr1.1
8172	chr1.1
8378	chr1.1
8328	chr1.1
8358	chr1.1
8173	chr1.1
8316	chr1.1
8348	chr1.1
8268	chr1.1
8256	chr1.1
8203	chr1.1
